time/s,Ewe/V,simplifying data 20 pt,simplifying data 24 pt
0,0.16556323,1,1
5,0.10782135,0,0
10,0.11286565,0,0
15,1.3189676,0,0
20,0.15929608,0,0
25,0.11781441,0,0
30,0.17672181,0,0
35,0.23003082,0,0
40,0.066626295,0,0
45,0.25387657,0,0
50,0.29375324,0,0
55,0.44003773,0,0
60,0.2129108,0,0
65,0.054722525,0,0
70,1.2990197,0,0
75,0.48549369,0,0
80,0.05025145,0,0
85,0.504085,0,0
90,0.054875385,0,0
95,0.28987449,0,0
100,1.6537062,1,0
105,0.14282569,0,0
110,1.8016912,0,0
115,0.061658431,0,0
120,0.18921791,0,1
125,0.18998219,0,0
130,1.035551,0,0
135,0.044270903,0,0
140,0.19384184,0,0
145,1.1119415,0,0
150,0.87827981,0,0
155,0.1356605,0,0
160,0.080001317,0,0
165,1.3369665,0,0
170,0.4799144,0,0
175,0.23883922,0,0
180,0.14651337,0,0
185,0.47091493,0,0
190,0.33485276,0,0
195,0.18327558,0,0
200,0.38969034,1,0
205,0.39425695,0,0
210,0.39962608,0,0
215,0.72097045,0,0
220,0.66798627,0,0
225,0.92581844,0,0
230,0.07350488,0,0
235,0.44582722,0,0
240,0.2608889,0,1
245,0.11800548,0,0
250,0.18465129,0,0
255,0.083383285,0,0
260,0.19701363,0,0
265,0.035003927,0,0
270,0.61540335,0,0
275,0.91446877,0,0
280,0.088886149,0,0
285,1.1904337,0,0
290,0.19833203,0,0
295,0.46535474,0,0
300,0.49797067,1,0
305,0.15816875,0,0
310,0.13516372,0,0
315,0.059996106,0,0
320,0.46814439,0,0
325,0.5324018,0,0
330,0.11643869,0,0
335,1.5661762,0,0
340,0.55298024,0,0
345,0.045226265,0,0
350,0.36179388,0,0
355,0.021839086,0,0
360,0.23152117,0,1
365,1.6343315,0,0
370,0.013221751,0,0
375,1.6164472,0,0
380,-0.00378363,0,0
385,1.6565722,0,0
390,1.6508591,0,0
395,1.230425,0,0
400,1.1969874,1,0
405,1.1482642,0,0
410,1.5957923,0,0
415,1.3794419,0,0
420,1.3816582,0,0
425,-0.005847205,0,0
430,1.4096502,0,0
435,1.4098986,0,0
440,0.18470861,0,0
445,0.10969386,0,0
450,0.52798808,0,0
455,0.045570191,0,0
