dilution,OD,OD-blank,median Voltage,,calibtration voltages,
100,0.863,0.848,,,time,V
95,0.851,0.836,,,25693.77524,0.015979536
89.3,0.801,0.786,,,25695.77524,0.027056668
83.049,0.771,0.756,,,25697.77523,-0.000406983
76.40508,0.701,0.686,,,25699.77523,0.032423347
75.6410292,0.694,0.679,,,25701.77523,0.025948955
68.07692628,0.641,0.626,,,25703.77523,0.010994825
61.26923365,0.584,0.569,0.036445278,,25705.77523,0.018538734
52.0788486,0.501,0.486,0.051995265,,25707.77523,0.031964984
44.26702131,0.433,0.418,0.076232211,,25709.77523,0.02012391
35.41361705,0.35,0.335,0.103661649,,25711.77523,0.023905415
28.33089364,0.281,0.266,0.148304855,,25713.77523,-0.003462744
22.66471491,0.235,0.22,0.227602713,,25715.77523,0.022129254
16.99853618,0.166,0.151,0.335198676,,25717.77523,-0.00197306
12.74890214,0.13,0.115,0.408127508,,25719.77523,0.033110894
8.28678639,0.084,0.069,0.528799499,,25721.77523,0.006086509
4.143393195,0.044,0.029,0.834874479,,25723.77523,0.059027564
2.071696597,0.027,0.012,1.024820478,,25725.77523,0.012503606
1.035848299,0.021,0.006,1.104196566,,25727.45883,0.074172683
,,,,,25727.95883,0.037981015
,,,,,25728.45883,0.055551637
,,,,,25728.95883,0.011968848
,,,,,25729.45883,0.056105494
,,,,,25729.95883,0.023886316
,,,,,25730.45883,0.041170463
,,,,,25730.95883,0.026273629
,,,,,25731.45883,0.040158242
,,,,,25731.95883,0.03034161
,,,,,25732.45883,-4.41114E-05
,,,,,25732.95883,0.16691503
,,,,,25733.45883,0.18328245
,,,,,25733.95883,0.15650634
,,,,,25734.45883,0.18647189
,,,,,25734.95883,0.3193593
,,,,,25735.45883,0.31023023
,,,,,25735.95883,0.4496111
,,,,,25736.45883,0.45478681
,,,,,25736.95883,0.48215494
,,,,,25737.45883,0.46410686
,,,,,25737.95883,0.48160109
,,,,,25738.45883,0.49743375
,,,,,25738.95883,0.51861399
,,,,,25739.45883,0.52930915
,,,,,25739.95883,0.50369805
,,,,,25740.45883,0.51446962
,,,,,25740.95883,0.53144819
,,,,,25741.45883,0.51336193
,,,,,25741.95883,0.50392729
,,,,,25742.45883,0.51345742
,,,,,25742.95883,0.51939702
,,,,,25743.45883,0.54496998
,,,,,25743.95883,0.55459559
,,,,,25744.45883,0.54691797
,,,,,25744.95883,0.54191417
,,,,,25745.45883,0.5234459
,,,,,25745.95883,0.52646351
,,,,,25746.45883,0.5145269
,,,,,25746.95883,0.51542455
,,,,,25747.45883,0.52023739
,,,,,25747.95883,0.51590204
,,,,,25748.45883,0.51834661
,,,,,25748.95883,0.51695246
,,,,,25749.45883,0.52915639
,,,,,25749.95883,0.52136421
,,,,,25750.45883,0.51886231
,,,,,25750.95883,0.52877444
,,,,,25751.45883,0.51540548
,,,,,25751.95883,0.53026408
,,,,,25752.45883,0.51827025
,,,,,25752.95883,0.52852613
,,,,,25753.45883,0.51609302
,,,,,25753.95883,0.52468735
,,,,,25754.45883,0.52109683
,,,,,25754.95883,0.51964533
,,,,,25755.45883,0.52810597
,,,,,25755.95883,0.51874769
,,,,,25756.45883,0.51771641
,,,,,25756.95883,0.51846123
,,,,,25757.45883,0.52086765
,,,,,25757.95883,0.51838481
,,,,,25758.45883,0.52852613
,,,,,25758.95883,0.52102041
,,,,,25759.45883,0.53299516
,,,,,25759.95883,0.52394247
,,,,,25760.45883,0.52197534
,,,,,25760.95883,0.53072244
,,,,,25761.45883,0.52648258
,,,,,25761.95883,0.53610826
,,,,,25762.45883,0.54082555
,,,,,25762.95883,0.52231914
,,,,,25763.45883,0.54603946
,,,,,25763.95883,0.52560407
,,,,,25764.45883,0.52428627
,,,,,25764.95883,0.53941226
,,,,,25765.45883,0.53778893
,,,,,25765.95883,0.53463763
,,,,,25766.45883,0.5339883
,,,,,25766.95883,0.53584087
,,,,,25767.45883,0.53213573
,,,,,25767.95883,0.54116935
,,,,,25768.45883,0.38880146
,,,,,25768.95883,0.25971466
,,,,,25769.45883,0.031487521
,,,,,25769.95883,0.009677028
,,,,,25770.45883,0.002954354
,,,,,25770.95883,0.013802305
,,,,,25771.45883,0.039470695
,,,,,25771.95883,0.027744213
,,,,,25772.45883,0.031201044
,,,,,25772.95883,0.037045188
,,,,,25773.45883,0.029176602
,,,,,25773.95883,0.029997837
,,,,,25774.45883,0.042965721
,,,,,25774.95883,0.021976465
,,,,,25775.45883,0.024210991
,,,,,25775.95883,0.025605181
,,,,,25776.45883,0.036529526
,,,,,25776.95883,0.042889331
,,,,,25777.45883,0.034581479
,,,,,25777.95883,0.029806852
,,,,,25778.45883,0.03022702
,,,,,25778.95883,0.059161253
,,,,,25779.45883,0.028890124
,,,,,25779.95883,0.026865683
,,,,,25780.45883,0.031067355
,,,,,25780.95883,0.039699879
,,,,,25781.45883,0.04046382
,,,,,25781.95883,0.033588357
,,,,,25782.45883,0.036013868
,,,,,25782.95883,0.042832032
,,,,,25783.45883,0.045372136
,,,,,25783.95883,0.028298071
,,,,,25784.45883,0.034256805
,,,,,25784.95883,0.028603647
,,,,,25785.45883,0.025681576
,,,,,25785.95883,0.044455405
,,,,,25786.45883,0.043576874
,,,,,25786.95883,0.042087194
,,,,,25787.45883,0.028641844
,,,,,25787.95883,0.037923716
,,,,,25788.45883,0.048599783
,,,,,25788.95883,0.03280532
,,,,,25789.45883,0.052514974
,,,,,25789.95883,0.046269763
,,,,,25790.45883,0.039909963
,,,,,25790.95883,0.034218609
,,,,,25791.45883,0.023924513
,,,,,25791.95883,0.038744953
,,,,,25792.45883,0.015864944
,,,,,25792.95883,0.019589152
,,,,,25793.45883,0.016514294
,,,,,25793.95883,0.025566984
,,,,,25794.45883,0.028298071
,,,,,25794.95883,0.02778241
,,,,,25795.45883,0.019799236
,,,,,25795.95883,0.006105607
,,,,,25796.45883,0.016476097
,,,,,25796.95883,0.009409649
,,,,,25797.45883,0.013592222
,,,,,25797.95883,0.017545613
,,,,,25798.45883,0.014929117
,,,,,25798.95883,0.013974192
,,,,,25799.45883,0.035631899
,,,,,25799.95883,0.034524184
,,,,,25800.45883,0.02142261
,,,,,25800.95883,0.027572328
,,,,,25801.45883,0.022396633
,,,,,25801.95883,0.034887057
,,,,,25802.45883,0.032576136
,,,,,25802.95883,0.026350023
,,,,,25803.45883,0.031239239
,,,,,25803.95883,0.029654065
,,,,,25804.45883,0.020429486
,,,,,25804.95883,0.056735747
