tubeOD (V),,,OD measured,,,LabJack Output,,,
Ch3,Ch7,Ch6,Ch3,Ch7,Ch6,Time,Ch3,Ch7,Ch6
0.23,0.38,0.31,1.07,1.04,1.02,3709238452,1.057037,1.742312,1.10649
0.38,0.57,0.47,0.76,0.76,0.74,3709238482,1.057037,1.753623,1.101132
0.48,0.77,0.61,0.63,0.62,0.58,3709238512,1.072122,1.705996,1.114825
0.64,0.97,0.77,0.46,0.46,0.45,3709238542,1.057037,1.724452,1.102323
0.79,1.22,0.94,0.33,0.33,0.32,3709238572,1.036925,1.724452,1.095179
0.86,1.33,1.05,0.26,0.27,0.26,3709238602,1.052009,1.726238,1.077319
0.93,1.44,1.15,0.20,0.21,0.20,3709238632,1.052009,1.721475,1.093393
1.00,1.56,1.17,0.16,0.16,0.15,3709238662,1.036925,1.721475,1.086844
1.04,1.60,1.27,0.13,0.13,0.13,3709238692,1.041953,1.722666,1.093988
1.09,1.67,1.32,0.11,0.11,0.11,3709238722,1.036925,1.71314,1.07077
,,,,,,3709238752,1.052009,1.709568,1.070174
,,,,,,3709238782,1.031897,1.699447,1.085653
,,,,,,3709238812,1.046981,1.698257,1.074342
,,,,,,3709238842,1.026868,1.692899,1.085653
,,,,,,3709238872,1.057037,1.682183,1.083272
,,,,,,3709238902,1.052009,1.678015,1.099941
,,,,,,3709238932,1.057037,1.663727,1.092797
,,,,,,3709238962,1.046981,1.667299,1.077914
,,,,,,3709238992,1.036925,1.701829,1.075533
,,,,,,3709239022,1.016812,1.66849,1.092202
,,,,,,3709239052,1.031897,1.664322,1.091607
,,,,,,3709239082,1.041953,1.652416,1.076128
,,,,,,3709239112,1.036925,1.662536,1.068984
,,,,,,3709239142,1.052009,1.635151,1.072556
,,,,,,3709239172,1.031897,1.675634,1.053505
,,,,,,3709239202,1.046981,1.618481,1.075533
,,,,,,3709239232,1.031897,1.652416,1.066602
,,,,,,3709239262,1.041953,1.649439,1.068984
,,,,,,3709239292,1.011784,1.655988,1.063626
,,,,,,3709239322,1.02184,1.638128,1.059458
,,,,,,3709239352,1.016812,1.644676,1.081486
,,,,,,3709239382,1.026868,1.622053,1.057077
,,,,,,3709239412,1.026868,1.618481,1.062435
,,,,,,3709239442,1.031897,1.623244,1.077319
,,,,,,3709239472,1.031897,1.632769,1.066602
,,,,,,3709239502,1.001728,1.645272,1.054696
,,,,,,3709239532,1.011784,1.65063,1.042789
,,,,,,3709239562,1.006756,1.617886,1.07077
,,,,,,3709239592,1.02184,1.616695,1.069579
,,,,,,3709239622,1.001728,1.629793,1.055291
,,,,,,3709239652,0.991671,1.630388,1.056482
,,,,,,3709239682,1.031897,1.616695,1.042789
,,,,,,3709239712,1.016812,1.620863,1.046956
,,,,,,3709239742,1.001728,1.636937,1.043384
,,,,,,3709239772,1.011784,1.628007,1.041598
,,,,,,3709239802,0.996699,1.600621,1.035049
,,,,,,3709239832,1.026868,1.601812,1.068984
,,,,,,3709239862,1.001728,1.626816,1.034454
,,,,,,3709239892,1.026868,1.594072,1.065412
,,,,,,3709239922,1.011784,1.602407,1.059458
,,,,,,3709239952,0.986643,1.622053,1.032668
,,,,,,3709239982,1.02184,1.614909,1.05291
,,,,,,3709240012,0.986643,1.612528,1.023738
,,,,,,3709240042,0.981615,1.60717,1.019571
,,,,,,3709240072,0.986643,1.60717,1.035645
,,,,,,3709240102,0.986643,1.611337,1.036836
,,,,,,3709240132,0.996699,1.602407,1.033263
,,,,,,3709240162,0.986643,1.607765,1.021952
,,,,,,3709240192,0.996699,1.588119,1.058863
,,,,,,3709240222,0.986643,1.617291,1.02731
,,,,,,3709240252,0.991671,1.594072,1.054696
,,,,,,3709240282,0.986643,1.60717,1.026715
,,,,,,3709240312,0.996699,1.58931,1.04517
,,,,,,3709240342,1.016812,1.582761,1.042789
,,,,,,3709240372,0.991671,1.596454,1.048147
,,,,,,3709240402,1.016812,1.578594,1.030882
,,,,,,3709240432,0.981615,1.600621,1.025524
,,,,,,3709240462,1.011784,1.575617,1.057672
,,,,,,3709240492,0.981615,1.604789,1.034454
,,,,,,3709240522,0.991671,1.575022,1.049933
,,,,,,3709240552,1.001728,1.582761,1.02731
,,,,,,3709240582,0.986643,1.58038,1.048742
,,,,,,3709240612,0.986643,1.586928,1.046361
,,,,,,3709240642,1.006756,1.554185,1.038026
,,,,,,3709240672,0.96653,1.593477,1.033263
,,,,,,3709240702,0.981615,1.589905,1.02731
,,,,,,3709240732,0.96653,1.592882,1.023738
,,,,,,3709240762,0.971559,1.582166,1.035049
,,,,,,3709240792,0.991671,1.57264,1.026119
,,,,,,3709240822,0.996699,1.550613,1.021952
,,,,,,3709240852,0.971559,1.585142,1.023738
,,,,,,3709240882,1.001728,1.584547,1.017189
,,,,,,3709240912,0.996699,1.558352,1.024929
,,,,,,3709240942,0.981615,1.602407,1.025524
,,,,,,3709240972,0.996699,1.578594,1.060649
,,,,,,3709241002,0.996699,1.576212,1.051719
