falcon tube,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,
remove and replace,1,0.0388,0.00078,0.0512,-0.00032,0.0931,-0.0028,0.2356,-0.0063,0.5502,0.00432,1.29,-0.0664,2.395,-0.0182,2.756,-0.0036,3.223,-0.007,3.259,-0.0188,3.269,0.0016
,2,0.0397,-0.00012,0.0509,-2E-05,0.0916,-0.0013,0.2308,-0.0015,0.5588,-0.00428,1.217,0.0066,2.356,0.0208,2.748,0.0044,3.199,0.017,3.222,0.0182,3.272,-0.0014
,3,0.0392,0.00038,0.0509,-2E-05,0.0897,0.0006,0.232,-0.0027,0.5593,-0.00478,1.218,0.0056,2.351,0.0258,2.75,0.0024,3.22,-0.004,3.26,-0.0198,3.269,0.0016
,4,0.0396,-2E-05,0.0502,0.00068,0.0874,0.0029,0.2225,0.0068,0.5514,0.00312,1.191,0.0326,2.426,-0.0492,2.747,0.0054,3.219,-0.003,3.244,-0.0038,3.273,-0.0024
,5,0.0406,-0.00102,0.0512,-0.00032,0.0897,0.0006,0.2256,0.0037,0.5529,0.00162,1.202,0.0216,2.356,0.0208,2.761,-0.0086,3.219,-0.003,3.216,0.0242,3.27,0.0006
mean,,0.03958,0.000672309,0.05088,0.000408656,0.0903,0.002159861,0.2293,0.005223983,0.55452,0.004248176,1.2236,0.038772413,2.3768,0.032721553,2.7524,0.00594138,3.216,0.009643651,3.2402,0.020474374,3.2706,0.00181659
,,,,,,,,,,,,,,,,,,,,,,,
glass tube,,1,,2,,3,,4,,5,,6,,7,,8,,9,,,,,
remove and replace,,0.0344,0.00342,0.045,8E-05,0.0845,0.00148,0.1896,0.00024,0.473,0.01,1.215,-0.0102,2.557,0.0016,3.258,-0.002,3.295,0.0004,,,,
,,0.0387,-0.00088,0.0462,-0.00112,0.0848,0.00118,0.1892,0.00064,0.478,0.005,1.181,0.0238,2.548,0.0106,3.258,-0.002,3.296,-0.0006,,,,
,,0.0388,-0.00098,0.0435,0.00158,0.0857,0.00148,0.1905,-0.00066,0.489,-0.006,1.214,-0.0092,2.569,-0.0104,3.254,0.002,3.295,0.0004,,,,
,,0.0386,-0.00078,0.0459,-0.00082,0.0878,-0.00182,0.1905,-0.00066,0.487,-0.004,1.206,-0.0012,2.566,-0.0074,3.255,0.001,3.296,-0.0006,,,,
,,0.0386,-0.00078,0.0448,0.00028,0.0871,-0.00112,0.1894,0.00044,0.488,-0.005,1.208,-0.0032,2.553,0.0056,3.255,0.001,3.295,0.0004,,,,
mean,,0.03782,0.001913635,0.04508,0.001061603,0.08598,0.001434225,0.18984,0.00061887,0.483,0.007106335,1.2048,0.013845577,2.5586,0.008792042,3.256,0.001870829,3.2954,0.000547723,,,,
