Lactococcus data,,,,,
WT,,,Mutant,,
timestamp [s],elapsed time [h],Photometer output [V],timestamp [s],elapsed time [h],Photometer output [V]
3709932879,0,2.223345,3710355249,0,1.601812
3709932909,0.008333333,2.223345,3710355279,0.008332778,1.601217
3709932939,0.016667778,2.223345,3710355309,0.016665833,1.597645
3709932969,0.024999722,2.223345,3710355339,0.024999167,1.600026
3709932999,0.033331944,2.223941,3710355369,0.033332222,1.59824
3709933029,0.0416675,2.223941,3710355399,0.041664722,1.601217
3709933059,0.050001111,2.223941,3710355429,0.049998889,1.600621
3709933089,0.058341667,2.225727,3710355459,0.058332778,1.59824
3709933119,0.066667778,2.225727,3710355489,0.066666111,1.605384
3709933149,0.075000833,2.226322,3710355519,0.074999167,1.598835
3709933179,0.083333333,2.223941,3710355549,0.0833325,1.601217
3709933209,0.091667222,2.224536,3710355579,0.091666389,1.599431
3709933239,0.100000833,2.226322,3710355609,0.099998889,1.601812
3709933269,0.108333611,2.225727,3710355639,0.108332778,1.601217
3709933299,0.116665,2.226917,3710355669,0.116664444,1.601812
3709933329,0.125000833,2.220964,3710355699,0.124998333,1.604789
3709933359,0.133334167,2.224536,3710355729,0.133333055,1.601217
3709933389,0.141668056,2.22275,3710355759,0.141665556,1.598835
3709933419,0.149998056,2.225727,3710355789,0.149999444,1.604193
3709933449,0.158334444,2.225727,3710355819,0.158332778,1.603598
3709933479,0.166667222,2.228108,3710355849,0.166664444,1.601217
3709933509,0.175001944,2.221559,3710355879,0.174998889,1.603598
3709933539,0.183334167,2.224536,3710355909,0.183331111,1.601217
3709933569,0.1916675,2.225131,3710355939,0.191666667,1.603003
3709933599,0.200001944,2.223941,3710355969,0.199999722,1.603003
3709933629,0.208334444,2.222155,3710355999,0.208332778,1.603003
3709933659,0.216668056,2.223345,3710356029,0.216665833,1.604789
3709933689,0.224998611,2.224536,3710356059,0.224998611,1.605384
3709933719,0.233333611,2.221559,3710356089,0.2333325,1.604193
3709933749,0.241666667,2.220369,3710356119,0.241664444,1.603598
3709933779,0.250001111,2.225131,3710356149,0.249999444,1.607765
3709933809,0.258334167,2.223345,3710356179,0.258332778,1.604789
3709933839,0.266667778,2.225131,3710356209,0.266665833,1.605979
3709933869,0.275000833,2.225727,3710356239,0.274999722,1.606575
3709933899,0.283334444,2.224536,3710356269,0.283331389,1.609551
3709933929,0.291667778,2.227513,3710356299,0.291665278,1.605979
3709933959,0.300000833,2.224536,3710356329,0.299998611,1.606575
3709933989,0.308331667,2.226917,3710356359,0.308332778,1.60717
3709934019,0.316667778,2.225131,3710356389,0.316666389,1.606575
3709934049,0.325001111,2.223941,3710356419,0.324998611,1.60717
3709934079,0.333334444,2.225727,3710356449,0.333331111,1.609551
3709934109,0.341669167,2.223345,3710356479,0.341665278,1.610742
3709934139,0.350000833,2.226917,3710356509,0.349999722,1.616695
3709934169,0.358333889,2.223345,3710356539,0.358332778,1.613719
3709934199,0.366665278,2.224536,3710356569,0.366665556,1.613719
3709934229,0.374998611,2.224536,3710356599,0.374999444,1.60717
3709934259,0.383333056,2.22275,3710356629,0.3833325,1.609551
3709934289,0.391665,2.225131,3710356659,0.391666389,1.607765
3709934319,0.399998611,2.227513,3710356689,0.399999444,1.60717
3709934349,0.408333889,2.224536,3710356719,0.4083325,1.610742
3709934379,0.4166675,2.226322,3710356749,0.416666111,1.610147
3709934409,0.425001111,2.225727,3710356779,0.424997222,1.609551
3709934439,0.433331944,2.223941,3710356809,0.433333055,1.609551
3709934469,0.4416675,2.227513,3710356839,0.441665833,1.610742
3709934499,0.449998889,2.22275,3710356869,0.449999444,1.609551
3709934529,0.458334167,2.220369,3710356899,0.458333611,1.612528
3709934559,0.466667778,2.223941,3710356929,0.466666389,1.614314
3709934589,0.475001111,2.223345,3710356959,0.474999444,1.6161
3709934619,0.483334444,2.224536,3710356989,0.483333055,1.613719
3709934649,0.491667778,2.225727,3710357019,0.491666389,1.614909
3709934679,0.5,2.222155,3710357049,0.5,1.615505
3709934709,0.508333611,2.220964,3710357079,0.508333055,1.614314
